season,week,celebrity_name,pro_name,results,placement,judge_score_total,last_active_week,active_flag,exit_type,elimination_week,exit_week_inferred,eliminated_this_week,withdrew_this_week,season_week_judge_total,judge_score_pct,judge_rank,n_active
1,1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,18.0,3,True,eliminated,3,3,False,False,109.0,0.1651376146788991,4.5,6
1,1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,20.0,5,True,unknown,,,False,False,109.0,0.1834862385321101,2.0,6
1,1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,20.0,6,True,unknown,,,False,False,109.0,0.1834862385321101,2.0,6
1,1,Kelly Monaco,Alec Mazo,1st Place,1,13.0,6,True,unknown,,,False,False,109.0,0.11926605504587157,6.0,6
1,1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,20.0,4,True,eliminated,4,4,False,False,109.0,0.1834862385321101,2.0,6
1,1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,18.0,2,True,eliminated,2,2,False,False,109.0,0.1651376146788991,4.5,6
1,2,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,14.0,3,True,eliminated,3,3,False,False,121.0,0.11570247933884298,6.0,6
1,2,Joey McIntyre,Ashly DelGrosso,3rd Place,3,21.0,5,True,unknown,,,False,False,121.0,0.17355371900826447,3.0,6
1,2,John O'Hurley,Charlotte Jorgensen,2nd Place,2,26.0,6,True,unknown,,,False,False,121.0,0.21487603305785125,1.0,6
1,2,Kelly Monaco,Alec Mazo,1st Place,1,17.0,6,True,unknown,,,False,False,121.0,0.14049586776859505,5.0,6
1,2,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,24.0,4,True,eliminated,4,4,False,False,121.0,0.19834710743801653,2.0,6
1,2,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,19.0,2,True,eliminated,2,2,True,False,121.0,0.15702479338842976,4.0,6
1,3,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,13.0,3,True,eliminated,3,3,True,False,106.0,0.12264150943396226,5.0,5
1,3,Joey McIntyre,Ashly DelGrosso,3rd Place,3,22.0,5,True,unknown,,,False,False,106.0,0.20754716981132076,3.0,5
1,3,John O'Hurley,Charlotte Jorgensen,2nd Place,2,24.0,6,True,unknown,,,False,False,106.0,0.22641509433962265,2.0,5
1,3,Kelly Monaco,Alec Mazo,1st Place,1,21.0,6,True,unknown,,,False,False,106.0,0.19811320754716982,4.0,5
1,3,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,26.0,4,True,eliminated,4,4,False,False,106.0,0.24528301886792453,1.0,5
1,4,Joey McIntyre,Ashly DelGrosso,3rd Place,3,20.0,5,True,unknown,,,False,False,92.0,0.21739130434782608,4.0,4
1,4,John O'Hurley,Charlotte Jorgensen,2nd Place,2,21.0,6,True,unknown,,,False,False,92.0,0.22826086956521738,3.0,4
1,4,Kelly Monaco,Alec Mazo,1st Place,1,26.0,6,True,unknown,,,False,False,92.0,0.2826086956521739,1.0,4
1,4,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,25.0,4,True,eliminated,4,4,True,False,92.0,0.2717391304347826,2.0,4
1,5,Joey McIntyre,Ashly DelGrosso,3rd Place,3,22.5,5,True,unknown,,,False,False,73.0,0.3082191780821918,3.0,3
1,5,John O'Hurley,Charlotte Jorgensen,2nd Place,2,27.0,6,True,unknown,,,False,False,73.0,0.3698630136986301,1.0,3
1,5,Kelly Monaco,Alec Mazo,1st Place,1,23.5,6,True,unknown,,,False,False,73.0,0.3219178082191781,2.0,3
1,6,John O'Hurley,Charlotte Jorgensen,2nd Place,2,27.0,6,True,unknown,,,False,False,54.5,0.4954128440366973,2.0,2
1,6,Kelly Monaco,Alec Mazo,1st Place,1,27.5,6,True,unknown,,,False,False,54.5,0.5045871559633027,1.0,2
2,1,Drew Lachey,Cheryl Burke,1st Place,1,24.0,8,True,unknown,,,False,False,195.0,0.12307692307692308,1.0,10
2,1,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,18.0,6,True,eliminated,6,6,False,False,195.0,0.09230769230769231,8.0,10
2,1,Giselle Fernandez,Jonathan Roberts,Eliminated Week 3,8,23.0,3,True,eliminated,3,3,False,False,195.0,0.11794871794871795,2.5,10
2,1,Jerry Rice,Anna Trebunskaya,2nd Place,2,21.0,8,True,unknown,,,False,False,195.0,0.1076923076923077,5.0,10
2,1,Kenny Mayne,Andrea Hale,Eliminated Week 1,10,13.0,1,True,eliminated,1,1,True,False,195.0,0.06666666666666667,9.0,10
2,1,Lisa Rinna,Louis van Amstel,Eliminated Week 7,4,19.0,7,True,eliminated,7,7,False,False,195.0,0.09743589743589744,7.0,10
2,1,Master P,Ashly DelGrosso,Eliminated Week 4,7,12.0,4,True,eliminated,4,4,False,False,195.0,0.06153846153846154,10.0,10
2,1,Stacy Keibler,Tony Dovolani,3rd Place,3,22.0,8,True,unknown,,,False,False,195.0,0.11282051282051282,4.0,10
2,1,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,23.0,2,True,eliminated,2,2,False,False,195.0,0.11794871794871795,2.5,10
2,1,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,20.0,5,True,eliminated,5,5,False,False,195.0,0.10256410256410256,6.0,10
2,2,Drew Lachey,Cheryl Burke,1st Place,1,27.0,8,True,unknown,,,False,False,200.0,0.135,2.0,9
2,2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,22.0,6,True,eliminated,6,6,False,False,200.0,0.11,5.5,9
2,2,Giselle Fernandez,Jonathan Roberts,Eliminated Week 3,8,24.0,3,True,eliminated,3,3,False,False,200.0,0.12,3.0,9
2,2,Jerry Rice,Anna Trebunskaya,2nd Place,2,23.0,8,True,unknown,,,False,False,200.0,0.115,4.0,9
2,2,Lisa Rinna,Louis van Amstel,Eliminated Week 7,4,20.0,7,True,eliminated,7,7,False,False,200.0,0.1,7.0,9
2,2,Master P,Ashly DelGrosso,Eliminated Week 4,7,16.0,4,True,eliminated,4,4,False,False,200.0,0.08,9.0,9
2,2,Stacy Keibler,Tony Dovolani,3rd Place,3,29.0,8,True,unknown,,,False,False,200.0,0.145,1.0,9
2,2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,17.0,2,True,eliminated,2,2,True,False,200.0,0.085,8.0,9
2,2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,22.0,5,True,eliminated,5,5,False,False,200.0,0.11,5.5,9
2,3,Drew Lachey,Cheryl Burke,1st Place,1,27.0,8,True,unknown,,,False,False,182.0,0.14835164835164835,1.5,8
2,3,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,22.0,6,True,eliminated,6,6,False,False,182.0,0.12087912087912088,5.5,8
