date,contest_number,word,num_results,num_hard_mode,try_1,try_2,try_3,try_4,try_5,try_6,try_x,year,month,day,dayofweek,dayofweek_name,is_weekend,week_of_year,num_vowels,vowel_ratio,num_unique_letters,num_repeated_letters,has_repeated,avg_letter_freq,min_letter_freq,max_letter_freq,first_letter_freq,last_letter_freq,hard_mode_ratio,avg_tries,fail_rate,difficulty
2022-12-31,560,MANLY,20380,1899,0.0,2.0,17.0,37.0,29.0,12.0,2.0,2022,12,31,5,Saturday,1,52,1.0,0.2,5.0,0.0,0.0,4.6659999999999995,1.97,8.17,2.41,1.97,0.09317958783120707,4.34,2.0,Hard
2022-12-30,559,MOLAR,21204,1973,0.0,4.0,21.0,38.0,26.0,9.0,1.0,2022,12,30,4,Friday,0,52,2.0,0.4,5.0,0.0,0.0,5.622,2.41,8.17,2.41,5.99,0.09304848141860027,4.14,1.0,Medium
2022-12-29,558,HAVOC,20001,1919,0.0,2.0,16.0,38.0,30.0,12.0,2.0,2022,12,29,3,Thursday,0,52,2.0,0.4,5.0,0.0,0.0,5.106,0.98,8.17,6.09,2.78,0.09594520273986301,4.4,2.0,Hard
2022-12-28,557,IMPEL,20160,1937,0.0,3.0,21.0,40.0,25.0,9.0,1.0,2022,12,28,2,Wednesday,0,52,2.0,0.4,5.0,0.0,0.0,5.608,1.93,12.7,6.97,4.03,0.09608134920634921,4.15,1.0,Medium
2022-12-27,556,CONDO,20879,2012,0.0,2.0,17.0,35.0,29.0,14.0,3.0,2022,12,27,1,Tuesday,0,52,2.0,0.4,4.0,1.0,1.0,5.76,2.78,7.51,2.78,7.51,0.09636476842760669,4.45,3.0,Hard
2022-12-26,555,JUDGE,20011,2043,0.0,2.0,8.0,16.0,26.0,33.0,14.0,2022,12,26,0,Monday,0,52,2.0,0.4,5.0,0.0,0.0,4.3759999999999994,0.15,12.7,0.15,12.7,0.10209384838338914,5.18,14.0,Hard
2022-12-25,554,EXTRA,15554,1562,1.0,5.0,20.0,35.0,28.0,10.0,1.0,2022,12,25,6,Sunday,1,51,2.0,0.4,5.0,0.0,0.0,7.214,0.15,12.7,12.7,8.17,0.10042432814710042,4.18,1.0,Medium
2022-12-24,553,POISE,20281,1911,2.0,11.0,34.0,32.0,15.0,6.0,1.0,2022,12,24,5,Saturday,1,51,3.0,0.6,5.0,0.0,0.0,7.087999999999999,1.93,12.7,1.93,12.7,0.09422612297224003,3.72,1.0,Medium
2022-12-23,552,AORTA,21937,2112,0.0,7.0,26.0,35.0,20.0,10.0,3.0,2022,12,23,4,Friday,0,51,3.0,0.6,4.0,1.0,1.0,7.780000000000001,5.99,9.06,8.17,8.17,0.09627569859142089,4.13,3.0,Medium
2022-12-22,551,EXCEL,20490,2034,0.0,1.0,13.0,34.0,34.0,15.0,2.0,2022,12,22,3,Thursday,0,51,2.0,0.4,4.0,1.0,1.0,6.4719999999999995,0.15,12.7,12.7,4.03,0.0992679355783309,4.51,2.0,Hard
2022-12-21,550,LUNAR,22180,2036,0.0,5.0,32.0,40.0,17.0,4.0,0.0,2022,12,21,2,Wednesday,0,51,2.0,0.4,5.0,0.0,0.0,5.540000000000001,2.76,8.17,4.03,5.99,0.09179440937781785,3.75,0.0,Medium
2022-12-20,549,THIRD,24137,2261,1.0,10.0,47.0,32.0,9.0,2.0,0.0,2022,12,20,1,Tuesday,0,51,1.0,0.2,5.0,0.0,0.0,6.4719999999999995,4.25,9.06,9.06,4.25,0.09367361312507769,3.47,0.0,Easy
2022-12-19,548,SLATE,26010,2422,6.0,14.0,33.0,27.0,13.0,5.0,1.0,2022,12,19,0,Monday,0,51,2.0,0.4,5.0,0.0,0.0,8.058000000000002,4.03,12.7,6.33,12.7,0.09311803152633602,3.43,1.0,Easy
2022-12-18,547,TAPER,22166,2108,0.0,8.0,28.0,30.0,20.0,11.0,3.0,2022,12,18,6,Sunday,1,50,2.0,0.4,5.0,0.0,0.0,7.57,1.93,12.7,9.06,5.99,0.09510060452945954,4.07,3.0,Medium
2022-12-17,546,CHORD,22336,2088,0.0,7.0,39.0,38.0,13.0,3.0,0.0,2022,12,17,5,Saturday,1,50,1.0,0.2,5.0,0.0,0.0,5.324,2.78,7.51,2.78,4.25,0.09348137535816618,3.66,0.0,Easy
2022-12-16,545,RPROBE,22853,2160,0.0,6.0,24.0,32.0,24.0,11.0,3.0,2022,12,16,4,Friday,0,50,2.0,0.3333333333333333,5.0,1.0,1.0,5.935,1.49,12.7,5.99,12.7,0.09451713123003544,4.19,3.0,Medium
2022-12-15,544,RIVAL,22176,2127,0.0,7.0,27.0,35.0,22.0,8.0,1.0,2022,12,15,3,Thursday,0,50,2.0,0.4,5.0,0.0,0.0,5.228,0.98,8.17,5.99,4.03,0.09591450216450216,4.0,1.0,Medium
2022-12-14,543,USUAL,20824,2048,0.0,3.0,20.0,39.0,27.0,10.0,1.0,2022,12,14,2,Wednesday,0,50,3.0,0.6,4.0,1.0,1.0,4.8100000000000005,2.76,8.17,2.76,4.03,0.09834805993084902,4.24,1.0,Hard
2022-12-13,542,SPOKE,24101,2224,0.0,6.0,31.0,38.0,19.0,5.0,0.0,2022,12,13,1,Tuesday,0,50,2.0,0.4,5.0,0.0,0.0,5.848,0.77,12.7,6.33,12.7,0.09227832870005394,3.82,0.0,Medium
2022-12-12,541,APPLY,22873,2150,0.0,5.0,28.0,38.0,22.0,7.0,1.0,2022,12,12,0,Monday,0,50,1.0,0.2,4.0,1.0,1.0,3.6059999999999994,1.93,8.17,8.17,1.97,0.09399728938049229,4.05,1.0,Medium
2022-12-11,540,NAÏVE,21947,2075,1.0,7.0,24.0,32.0,24.0,11.0,1.0,2022,12,11,6,Sunday,1,49,2.0,0.4,5.0,0.0,0.0,5.720000000000001,0.0,12.7,6.75,12.7,0.0945459516106985,4.08,1.0,Medium
2022-12-10,539,KNOCK,21157,2041,0.0,3.0,18.0,43.0,27.0,8.0,1.0,2022,12,10,5,Saturday,1,49,1.0,0.2,4.0,1.0,1.0,3.7159999999999997,0.77,7.51,0.77,0.77,0.09646925367490665,4.22,1.0,Hard
2022-12-09,538,BRAID,23640,2165,0.0,10.0,36.0,35.0,14.0,3.0,0.0,2022,12,9,4,Friday,0,49,2.0,0.4,5.0,0.0,0.0,5.3740000000000006,1.49,8.17,1.49,4.25,0.09158206429780034,3.56,0.0,Easy
2022-12-08,537,INFER,21199,1863,0.0,3.0,19.0,33.0,26.0,14.0,3.0,2022,12,8,3,Thursday,0,49,2.0,0.4,5.0,0.0,0.0,6.928,2.23,12.7,6.97,5.99,0.08788150384452097,4.3,3.0,Hard
2022-12-07,536,JOUST,24899,2388,0.0,6.0,29.0,34.0,21.0,8.0,2.0,2022,12,7,2,Wednesday,0,49,2.0,0.4,5.0,0.0,0.0,5.162000000000001,0.15,9.06,0.15,9.06,0.09590746616329973,4.02,2.0,Medium
2022-12-06,535,AMBER,23509,2261,0.0,6.0,22.0,33.0,24.0,12.0,3.0,2022,12,6,1,Tuesday,0,49,2.0,0.4,5.0,0.0,0.0,6.151999999999999,1.49,12.7,8.17,5.99,0.09617593262154919,4.23,3.0,Hard
2022-12-05,534,WOKEN,23153,2200,0.0,2.0,10.0,25.0,36.0,23.0,4.0,2022,12,5,0,Monday,0,49,2.0,0.4,5.0,0.0,0.0,6.017999999999999,0.77,12.7,2.36,6.75,0.09502008379043753,4.8,4.0,Hard
2022-12-04,533,ADORE,25577,2398,2.0,17.0,32.0,29.0,15.0,5.0,1.0,2022,12,4,6,Sunday,1,48,3.0,0.6,5.0,0.0,0.0,7.724000000000001,4.25,12.7,8.17,12.7,0.09375610900418345,3.6,1.0,Easy
2022-12-03,532,TORSO,23873,2260,0.0,4.0,35.0,36.0,17.0,6.0,1.0,2022,12,3,5,Saturday,1,48,2.0,0.4,4.0,1.0,1.0,7.279999999999999,5.99,9.06,9.06,7.51,0.09466761613538306,3.85,1.0,Medium
2022-12-02,531,CHAFE,24646,2343,0.0,6.0,30.0,33.0,19.0,9.0,2.0,2022,12,2,4,Friday,0,48,2.0,0.4,5.0,0.0,0.0,6.394,2.23,12.7,2.78,12.7,0.09506613649273715,3.97,2.0,Medium
2022-12-01,530,EJECT,22628,2200,0.0,2.0,11.0,35.0,36.0,14.0,2.0,2022,12,1,3,Thursday,0,48,2.0,0.4,4.0,1.0,1.0,7.478,0.15,12.7,12.7,9.06,0.0972246773908432,4.55,2.0,Hard
2022-11-30,529,STUDY,2569,2405,0.0,6.0,30.0,33.0,19.0,10.0,2.0,2022,11,30,2,Wednesday,0,48,1.0,0.2,5.0,0.0,0.0,4.874,1.97,9.06,6.33,1.97,0.9361619307123394,4.03,2.0,Medium
2022-11-29,528,UNDUE,23739,2316,0.0,3.0,19.0,35.0,29.0,13.0,2.0,2022,11,29,1,Tuesday,0,48,3.0,0.6,4.0,1.0,1.0,5.843999999999999,2.76,12.7,2.76,12.7,0.0975609756097561,4.4,2.0,Hard
2022-11-28,527,TEPID,26051,2484,0.0,10.0,38.0,35.0,13.0,3.0,0.0,2022,11,28,0,Monday,0,48,2.0,0.4,5.0,0.0,0.0,6.981999999999999,1.93,12.7,9.06,4.25,0.09535142604890408,3.57,0.0,Easy
2022-11-27,526,HAPPY,25206,2356,0.0,6.0,28.0,39.0,19.0,6.0,1.0,2022,11,27,6,Sunday,1,47,1.0,0.2,4.0,1.0,1.0,4.018,1.93,8.17,6.09,1.97,0.09346980877568833,3.9,1.0,Medium
2022-11-26,525,CLEN,26381,2424,1.0,17.0,36.0,31.0,12.0,3.0,0.0,2022,11,26,5,Saturday,1,47,1.0,0.25,4.0,0.0,0.0,6.5649999999999995,2.78,12.7,2.78,6.75,0.09188431067813957,3.45,0.0,Easy
2022-11-25,524,ITCHY,24197,2329,0.0,8.0,28.0,40.0,18.0,5.0,1.0,2022,11,25,4,Friday,0,47,1.0,0.2,5.0,0.0,0.0,5.3740000000000006,1.97,9.06,6.97,1.97,0.09625160143819482,3.87,1.0,Medium
2022-11-24,523,FEAST,27705,2725,5.0,13.0,25.0,27.0,19.0,10.0,2.0,2022,11,24,3,Thursday,0,47,2.0,0.4,5.0,0.0,0.0,7.698,2.23,12.7,2.23,9.06,0.09835769716657643,3.83,2.0,Medium
2022-11-23,522,DRIVE,26663,2451,1.0,12.0,32.0,30.0,18.0,6.0,1.0,2022,11,23,2,Wednesday,0,47,2.0,0.4,5.0,0.0,0.0,6.178,0.98,12.7,4.25,12.7,0.09192513970670967,3.74,1.0,Medium
