Feature,Coefficient,p_value,Significant
max_letter_freq,0.006962319986703136,0.15445283653984349,No
first_letter_freq,0.003408966289417053,0.2703136521256407,No
avg_letter_freq,-0.005946736243709866,0.32213299528931244,No
last_letter_freq,-0.0032238536032519194,0.35250314231331725,No
num_vowels,-0.16190219981084716,0.6693352241702473,No
vowel_ratio,0.16049409979354037,0.6710369269402072,No
num_repeated_letters,0.035768206378820326,0.6925766888780892,No
num_unique_letters,0.03210822926278812,0.7237065599613495,No
has_repeated,-0.0027181869470928872,0.8013763927809824,No
min_letter_freq,0.00040918843402294627,0.9157858560928018,No
