match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,elapsed_time_td,elapsed_seconds,global_point_idx,point_diff,p1_rolling_win_rate_5,p1_rolling_win_rate_10,p1_streak,p2_streak,p1_streak_prev,p2_streak_prev,is_p1_serving,server_won,games_in_set,sets_played,is_break_point,is_key_point,point_duration,momentum,momentum_state
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,95.0,BC,NCTL,ND,0 days 00:00:00,0.0,1,-1,,,0,1,0.0,0.0,1,0,0,0,0,0,0.0,-1.5384615384615383,P2_Slight
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118.0,B,CTL,ND,0 days 00:00:38,38.0,2,0,0.0,0.0,1,0,0.0,1.0,1,1,0,0,0,0,38.0,-0.8576923076923075,Neutral
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120.0,B,NCTL,D,0 days 00:01:01,61.0,3,-1,0.5,0.5,0,1,1.0,0.0,1,0,0,0,0,0,23.0,-2.3789999999999996,P2_Strong
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130.0,BW,CTL,D,0 days 00:01:31,91.0,4,0,0.3333333333333333,0.3333333333333333,1,0,0.0,1.0,1,1,0,0,0,0,30.0,-1.6814199999999997,P2_Slight
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,30,30,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112.0,W,NCTL,NA_ace,0 days 00:02:21,141.0,5,1,0.5,0.5,2,0,1.0,0.0,1,1,0,0,0,0,50.0,-0.9327915999999996,Neutral
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97.0,BW,NCTL,ND,0 days 00:02:50,170.0,6,0,0.6,0.6,0,1,2.0,0.0,1,0,0,0,0,0,29.0,-2.4525973064615383,P2_Strong
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109.0,W,CTL,D,0 days 00:03:33,213.0,7,1,0.6,0.5,1,0,0.0,1.0,1,1,0,0,0,1,43.0,-1.6235453603323076,P2_Slight
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,AD,40,1,2,2,4,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105.0,B,NCTL,ND,0 days 00:04:01,241.0,8,0,0.6,0.5714285714285714,0,1,1.0,0.0,1,0,0,0,0,1,28.0,-3.437228299279507,P2_Strong
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128.0,BC,CTL,D,0 days 00:04:48,288.0,9,1,0.6,0.5,1,0,0.0,1.0,1,1,0,0,0,1,47.0,-2.588483733293917,P2_Strong
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,AD,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110.0,B,NCTL,ND,0 days 00:05:32,332.0,10,2,0.6,0.5555555555555556,2,0,1.0,0.0,1,1,0,0,0,1,44.0,-1.6787140586280382,P2_Slight
