Rank,NOC,Gold,Silver,Bronze,Total,Year,is_host,total_events,total_lag1,gold_lag1,total_lag2,total_rolling3_mean,total_change,participation_count,gold_ratio
82,Afghanistan,0,0,1,1,2008,0,302,0.0,0.0,0.0,0.0,1.0,1,0.0
79,Afghanistan,0,0,1,1,2012,0,302,1.0,0.0,0.0,1.0,0.0,2,0.0
80,Albania,0,0,2,2,2024,0,329,0.0,0.0,0.0,0.0,2.0,1,0.0
42,Algeria,0,0,2,2,1984,0,221,0.0,0.0,0.0,0.0,2.0,1,0.0
34,Algeria,1,0,1,2,1992,0,257,2.0,0.0,0.0,2.0,0.0,2,0.5
34,Algeria,2,0,1,3,1996,0,271,2.0,1.0,2.0,2.0,1.0,3,0.6666666666666666
42,Algeria,1,1,3,5,2000,0,300,3.0,2.0,2.0,2.3333333333333335,2.0,4,0.2
68,Algeria,0,1,1,2,2008,0,302,5.0,1.0,3.0,3.3333333333333335,-3.0,5,0.0
50,Algeria,1,0,0,1,2012,0,302,2.0,0.0,5.0,3.3333333333333335,-1.0,6,1.0
63,Algeria,0,2,0,2,2016,0,306,1.0,1.0,2.0,2.6666666666666665,1.0,7,0.0
39,Algeria,2,0,1,3,2024,0,329,2.0,0.0,1.0,1.6666666666666667,1.0,8,0.6666666666666666
16,Argentina,1,3,2,6,1924,0,126,0.0,0.0,0.0,0.0,6.0,1,0.16666666666666666
12,Argentina,3,3,1,7,1928,0,109,6.0,1.0,0.0,6.0,1.0,2,0.42857142857142855
12,Argentina,3,1,0,4,1932,0,117,7.0,3.0,6.0,6.5,-3.0,3,0.75
14,Argentina,2,2,3,7,1936,0,129,4.0,3.0,7.0,5.666666666666667,3.0,4,0.2857142857142857
13,Argentina,3,3,1,7,1948,0,136,7.0,2.0,4.0,6.0,0.0,5,0.42857142857142855
19,Argentina,1,2,2,5,1952,0,149,7.0,3.0,7.0,6.0,-2.0,6,0.2
29,Argentina,0,1,1,2,1956,0,151,5.0,1.0,7.0,6.333333333333333,-3.0,7,0.0
30,Argentina,0,1,1,2,1960,0,150,2.0,0.0,5.0,4.666666666666667,0.0,8,0.0
30,Argentina,0,1,0,1,1964,0,163,2.0,0.0,2.0,3.0,-1.0,9,0.0
41,Argentina,0,0,2,2,1968,0,172,1.0,0.0,2.0,1.6666666666666667,1.0,10,0.0
33,Argentina,0,1,0,1,1972,0,195,2.0,0.0,1.0,1.6666666666666667,-1.0,11,0.0
35,Argentina,0,1,1,2,1988,0,237,1.0,0.0,2.0,1.3333333333333333,1.0,12,0.0
54,Argentina,0,0,1,1,1992,0,257,2.0,0.0,1.0,1.6666666666666667,-1.0,13,0.0
54,Argentina,0,2,1,3,1996,0,271,1.0,0.0,2.0,1.3333333333333333,2.0,14,0.0
57,Argentina,0,2,2,4,2000,0,300,3.0,0.0,1.0,2.0,1.0,15,0.0
38,Argentina,2,0,4,6,2004,0,301,4.0,0.0,3.0,2.6666666666666665,2.0,16,0.3333333333333333
35,Argentina,2,0,4,6,2008,0,302,6.0,2.0,4.0,4.333333333333333,0.0,17,0.3333333333333333
42,Argentina,1,1,2,4,2012,0,302,6.0,2.0,6.0,5.333333333333333,-2.0,18,0.25
26,Argentina,3,1,0,4,2016,0,306,4.0,1.0,6.0,5.333333333333333,0.0,19,0.75
72,Argentina,0,1,2,3,2020,0,339,4.0,3.0,4.0,4.666666666666667,-1.0,20,0.0
52,Argentina,1,1,1,3,2024,0,329,3.0,0.0,4.0,3.6666666666666665,0.0,21,0.3333333333333333
45,Armenia,1,1,0,2,1996,0,271,0.0,0.0,0.0,0.0,2.0,1,0.5
71,Armenia,0,0,1,1,2000,0,300,2.0,1.0,0.0,2.0,-1.0,2,0.0
62,Armenia,0,1,4,5,2008,0,302,1.0,0.0,2.0,1.5,4.0,3,0.0
65,Armenia,0,1,1,2,2012,0,302,5.0,0.0,1.0,2.6666666666666665,-3.0,4,0.0
42,Armenia,1,3,0,4,2016,0,306,2.0,0.0,5.0,2.6666666666666665,2.0,5,0.25
69,Armenia,0,2,2,4,2020,0,339,4.0,1.0,2.0,3.6666666666666665,0.0,6,0.0
66,Armenia,0,3,1,4,2024,0,329,4.0,0.0,4.0,3.3333333333333335,0.0,7,0.0
11,Australasia,1,2,2,5,1908,0,110,0.0,0.0,0.0,0.0,5.0,1,0.2
12,Australasia,2,2,3,7,1912,0,102,5.0,1.0,0.0,5.0,2.0,2,0.2857142857142857
8,Australia,2,0,0,2,1896,0,43,0.0,0.0,0.0,0.0,2.0,1,1.0
9,Australia,2,0,3,5,1900,0,97,2.0,2.0,0.0,2.0,3.0,2,0.4
12,Australia,0,3,1,4,1904,0,95,5.0,2.0,2.0,3.5,-1.0,3,0.0
16,Australia,0,2,1,3,1920,0,156,4.0,0.0,5.0,3.6666666666666665,-1.0,4,0.0
11,Australia,3,1,2,6,1924,0,126,3.0,0.0,4.0,4.0,3.0,5,0.5
19,Australia,1,2,1,4,1928,0,109,6.0,3.0,3.0,4.333333333333333,-2.0,6,0.25
11,Australia,3,1,1,5,1932,0,117,4.0,1.0,6.0,4.333333333333333,1.0,7,0.6
30,Australia,0,0,1,1,1936,0,129,5.0,3.0,4.0,5.0,-4.0,8,0.0
14,Australia,2,6,5,13,1948,0,136,1.0,0.0,5.0,3.3333333333333335,12.0,9,0.15384615384615385
9,Australia,6,2,3,11,1952,0,149,13.0,2.0,1.0,6.333333333333333,-2.0,10,0.5454545454545454
3,Australia,13,8,14,35,1956,1,151,11.0,6.0,13.0,8.333333333333334,24.0,11,0.37142857142857144
5,Australia,8,8,6,22,1960,0,150,35.0,13.0,11.0,19.666666666666668,-13.0,12,0.36363636363636365
8,Australia,6,2,10,18,1964,0,163,22.0,8.0,35.0,22.666666666666668,-4.0,13,0.3333333333333333
9,Australia,5,7,5,17,1968,0,172,18.0,6.0,22.0,25.0,-1.0,14,0.29411764705882354
6,Australia,8,7,2,17,1972,0,195,17.0,5.0,18.0,19.0,0.0,15,0.47058823529411764
32,Australia,0,1,4,5,1976,0,198,17.0,8.0,17.0,17.333333333333332,-12.0,16,0.0
15,Australia,2,2,5,9,1980,0,203,5.0,0.0,17.0,13.0,4.0,17,0.2222222222222222
14,Australia,4,8,12,24,1984,0,221,9.0,2.0,5.0,10.333333333333334,15.0,18,0.16666666666666666
15,Australia,3,6,5,14,1988,0,237,24.0,4.0,9.0,12.666666666666666,-10.0,19,0.21428571428571427
10,Australia,7,9,11,27,1992,0,257,14.0,3.0,24.0,15.666666666666666,13.0,20,0.25925925925925924
7,Australia,9,9,23,41,1996,0,271,27.0,7.0,14.0,21.666666666666668,14.0,21,0.21951219512195122
4,Australia,16,25,17,58,2000,1,300,41.0,9.0,27.0,27.333333333333332,17.0,22,0.27586206896551724
4,Australia,17,16,17,50,2004,0,301,58.0,16.0,41.0,42.0,-8.0,23,0.34
6,Australia,14,15,17,46,2008,0,302,50.0,17.0,58.0,49.666666666666664,-4.0,24,0.30434782608695654
8,Australia,8,15,12,35,2012,0,302,46.0,14.0,50.0,51.333333333333336,-11.0,25,0.22857142857142856
10,Australia,8,11,10,29,2016,0,306,35.0,8.0,46.0,43.666666666666664,-6.0,26,0.27586206896551724
6,Australia,17,7,22,46,2020,0,339,29.0,8.0,35.0,36.666666666666664,17.0,27,0.3695652173913043
4,Australia,18,19,16,53,2024,0,329,46.0,17.0,29.0,36.666666666666664,7.0,28,0.33962264150943394
7,Austria,2,1,2,5,1896,0,43,0.0,0.0,0.0,0.0,5.0,1,0.4
16,Austria,0,3,3,6,1900,0,97,5.0,2.0,0.0,5.0,1.0,2,0.0
8,Austria,1,1,1,3,1904,0,95,6.0,0.0,5.0,5.5,-3.0,3,0.3333333333333333
19,Austria,0,0,1,1,1908,0,110,3.0,1.0,6.0,4.666666666666667,-2.0,4,0.0
