season,week,mechanism,n_active,n_exit,fan_share_sum,fan_share_min,fan_share_max,fan_share_width_mean,fan_index_width_mean,judge_fan_rank_corr,observed_exit,pred_exit,match_pred,observed_exit_prob_at_posterior_mean
1,1,percent,6,0,1.0,0.16031216057283448,0.17397206454916392,0.43794364579420325,4.37258994852197,-0.5246313898711126,,,,
1,1,rank,6,0,1.0,0.15795344447528792,0.1801146740459812,0.43025475424471554,4.38228312713544,-0.21602468994692872,,,,
1,2,percent,6,1,1.0,0.051476398504846914,0.20606504177369364,0.3971329921617728,4.104309248432849,-0.6,Trista Sutter,Trista Sutter,1,0.6891602848695795
1,2,rank,6,1,1.0,0.04225347072433745,0.26372500838837587,0.3755782370001723,3.4898645940160127,-0.6571428571428573,Trista Sutter,Trista Sutter,1,1.0
1,3,percent,5,1,1.0,0.07820028492121094,0.23915154636809302,0.494848068849792,4.178558266859943,0.7,Evander Holyfield,Evander Holyfield,1,0.937450437618484
1,3,rank,5,1,1.0,0.09753549193282735,0.2615995982880542,0.4730960725646914,4.205028131085657,0.3,Evander Holyfield,Evander Holyfield,1,1.0
1,4,percent,4,1,0.9999999999999999,0.07587274182656924,0.3314822379200377,0.4859707273591099,3.468188272937339,-0.7999999999999999,Rachel Hunter,Rachel Hunter,1,0.9075039479166579
1,4,rank,4,1,1.0,0.06761383285454156,0.44889184044428937,0.4536998369467493,3.4023088787313616,-0.7999999999999999,Rachel Hunter,Rachel Hunter,1,0.9999998844450395
1,5,percent,3,0,1.0,0.3191429107937755,0.34174523115054084,0.761055192339394,5.176546763745288,-1.0,,,,
1,5,rank,3,0,0.9999999999999998,0.320413801062146,0.3589752537950724,0.736336476540355,4.8317323495736355,-0.5,,,,
1,6,percent,2,0,1.0,0.496347801348236,0.503652198651764,0.8932637844435201,5.753143449161423,-0.9999999999999999,,,,
1,6,rank,2,0,1.0,0.4840154286237366,0.5159845713762634,0.9042588164900313,6.019780190218634,0.9999999999999999,,,,
2,1,percent,10,1,1.0,0.04566374624622715,0.12294595665810708,0.2703071297573233,3.99080578846621,0.024316221747202584,Kenny Mayne,Kenny Mayne,1,0.3539174594130708
2,1,rank,10,1,1.0000000000000002,0.02760224934490311,0.13715551829548844,0.2553920228836637,3.8169265604901477,-0.2613993837824278,Kenny Mayne,Kenny Mayne,1,1.0
2,2,percent,9,1,1.0,0.04581196927141768,0.12288945506247655,0.28598978452764645,3.878516680319112,0.12552411131335847,Tatum O'Neal,Tatum O'Neal,1,0.39772030282652787
2,2,rank,9,1,1.0,0.029349382643691718,0.14557882456777962,0.280217327513922,3.8840334810674957,-0.41004543029030427,Tatum O'Neal,Tatum O'Neal,1,1.0
2,3,percent,8,1,0.9999999999999999,0.05069969529921215,0.14431109792185717,0.315333146809773,3.9892000160053334,-0.4940117600296769,Giselle Fernandez,Giselle Fernandez,1,0.3738826663552726
