season,week,mechanism,n_active,n_exit,alpha,tau,m,r,ess,ess_ratio,evidence
1,1,percent,6,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
1,2,percent,6,1,0.5,0.03,2000,500,905.4280599908285,0.45271402999541427,0.17424446307708175
1,3,percent,5,1,0.5,0.03,2000,500,1127.6869921470961,0.5638434960735481,0.3819202498765144
1,4,percent,4,1,0.5,0.03,2000,500,742.6857047706918,0.3713428523853459,0.20640499847306598
1,5,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
1,6,percent,2,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
2,1,percent,10,1,0.5,0.03,2000,500,1256.0225395643868,0.6280112697821933,0.1571296387448815
2,2,percent,9,1,0.5,0.03,2000,500,1202.6058583087995,0.6013029291543998,0.1612218261724172
2,3,percent,8,1,0.5,0.03,2000,500,1049.880459107258,0.5249402295536291,0.12164727884851541
2,4,percent,7,1,0.5,0.03,2000,500,1344.130146418336,0.672065073209168,0.4068201633801449
2,5,percent,6,1,0.5,0.03,2000,500,962.3436186961849,0.48117180934809245,0.2076155004599964
2,6,percent,5,1,0.5,0.03,2000,500,954.9355800916933,0.47746779004584666,0.2583078029543152
2,7,percent,4,1,0.5,0.03,2000,500,752.0670602303002,0.37603353011515006,0.22868685600650626
2,8,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
3,1,percent,11,1,0.5,0.03,2000,500,1313.6383986554958,0.6568191993277479,0.1470222824029915
3,2,percent,10,1,0.5,0.03,2000,500,1207.760264616406,0.6038801323082029,0.10239516215241778
3,3,percent,9,1,0.5,0.03,2000,500,1135.47738278237,0.5677386913911849,0.11373127026592444
3,4,percent,8,1,0.5,0.03,2000,500,1110.60134109805,0.555300670549025,0.13291429406737473
3,5,percent,7,2,0.5,0.03,2000,500,510.0046997277564,0.2550023498638782,0.05080443745883238
3,6,percent,5,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
3,7,percent,5,1,0.5,0.03,2000,500,984.0930768784,0.4920465384392,0.27866893312567625
3,8,percent,4,1,0.5,0.03,2000,500,838.9763468214124,0.4194881734107062,0.2653840126637244
3,9,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
3,10,percent,2,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
4,1,percent,11,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
4,2,percent,11,1,0.5,0.03,2000,500,1266.428070750994,0.633214035375497,0.0955555853418009
4,3,percent,10,1,0.5,0.03,2000,500,1220.0755824505345,0.6100377912252672,0.10477597667321535
4,4,percent,9,1,0.5,0.03,2000,500,1179.5382080176773,0.5897691040088386,0.15739705158076062
4,5,percent,8,1,0.5,0.03,2000,500,1195.3824039284887,0.5976912019642443,0.23093615456391547
4,6,percent,7,1,0.5,0.03,2000,500,1024.1365300584812,0.5120682650292406,0.1520516922600804
4,7,percent,6,1,0.5,0.03,2000,500,991.5090633451973,0.49575453167259864,0.21233321945090047
4,8,percent,5,1,0.5,0.03,2000,500,1061.4343927300445,0.5307171963650222,0.3271480377838142
4,9,percent,4,1,0.5,0.03,2000,500,816.9682302631542,0.40848411513157706,0.25560069252870155
4,10,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
5,1,percent,12,1,0.5,0.03,2000,500,1351.7619293501812,0.6758809646750906,0.11567057470337416
5,2,percent,11,1,0.5,0.03,2000,500,1260.6740644846693,0.6303370322423346,0.09231827912811778
5,3,percent,10,1,0.5,0.03,2000,500,1280.6418735688142,0.640320936784407,0.14625491155286904
5,4,percent,9,1,0.5,0.03,2000,500,1157.3484534498004,0.5786742267249002,0.13358552304920399
5,5,percent,8,1,0.5,0.03,2000,500,1114.0877793811776,0.5570438896905888,0.16021717082574366
5,6,percent,7,1,0.5,0.03,2000,500,1008.9733086157925,0.5044866543078962,0.15138901398580362
5,7,percent,6,1,0.5,0.03,2000,500,943.9391483784481,0.47196957418922403,0.17756656908392762
5,8,percent,5,1,0.5,0.03,2000,500,873.4316991209582,0.4367158495604791,0.20535513766261615
5,9,percent,4,1,0.5,0.03,2000,500,800.8481350835648,0.4004240675417824,0.24830313302601886
5,10,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
6,1,percent,12,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
6,2,percent,12,2,0.5,0.03,2000,500,942.8004036624551,0.47140020183122755,0.028837090173440785
6,3,percent,10,1,0.5,0.03,2000,500,1227.207818480985,0.6136039092404925,0.11120585932731243
6,4,percent,9,1,0.5,0.03,2000,500,1187.0146234252386,0.5935073117126193,0.1577345174941163
6,5,percent,8,1,0.5,0.03,2000,500,1130.919834250564,0.565459917125282,0.15890175737199633
6,6,percent,7,1,0.5,0.03,2000,500,1092.025107834583,0.5460125539172915,0.20324510868826487
6,7,percent,6,1,0.5,0.03,2000,500,936.6943885666809,0.4683471942833405,0.17000422433871398
6,8,percent,5,1,0.5,0.03,2000,500,848.6645674771124,0.4243322837385562,0.20024115141844173
6,9,percent,4,1,0.5,0.03,2000,500,864.7588992929747,0.43237944964648733,0.27953140353915296
6,10,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
7,1,percent,13,2,0.5,0.03,2000,500,950.4727335037726,0.4752363667518863,0.020015886999391982
7,2,percent,11,2,0.5,0.03,2000,500,811.2312503133707,0.4056156251566853,0.020801717714682855
7,3,percent,9,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
7,4,percent,9,1,0.5,0.03,2000,500,1225.4785921047642,0.6127392960523821,0.15733115453181887
7,5,percent,8,1,0.5,0.03,2000,500,1092.9227618899465,0.5464613809449732,0.14757636470118526
7,6,percent,7,1,0.5,0.03,2000,500,1137.4332719044867,0.5687166359522433,0.2537422214937969
7,7,percent,6,1,0.5,0.03,2000,500,949.1480295921232,0.4745740147960616,0.1755304178017912
7,8,percent,5,1,0.5,0.03,2000,500,892.8844039743664,0.4464422019871832,0.22610528853472217
