season,alpha,count_withdraw_as_exit,n_weeks,n_exit_weeks,n_single_exit_weeks,n_multi_exit_weeks,match_rate_percent_fan_percent,match_rate_rank_fan_percent,match_rate_percent_judge_save_fan_percent,match_rate_rank_judge_save_fan_percent,diff_weeks_percent_vs_rank_fan_percent,missing_fan_share_week_rate_fan_percent,missing_fan_share_total_fan_percent,match_rate_percent_fan_rank,match_rate_rank_fan_rank,match_rate_percent_judge_save_fan_rank,match_rate_rank_judge_save_fan_rank,diff_weeks_percent_vs_rank_fan_rank,missing_fan_share_week_rate_fan_rank,missing_fan_share_total_fan_rank,delta_match_rate_rank,delta_match_rate_percent_judge_save
1,0.5,1,6,3,3,0,1.0,1.0,0.3333333333333333,0.3333333333333333,0,0.0,0,1.0,1.0,0.6666666666666666,0.3333333333333333,0,0.0,0,0.0,-0.3333333333333333
2,0.5,1,8,7,7,0,1.0,1.0,0.42857142857142855,0.8571428571428571,0,0.0,0,1.0,1.0,0.8571428571428571,0.8571428571428571,0,0.0,0,0.0,-0.42857142857142855
3,0.5,1,10,7,6,1,1.0,1.0,0.5,0.6666666666666666,0,0.0,0,0.8571428571428571,1.0,1.0,0.6666666666666666,1,0.0,0,0.0,-0.5
4,0.5,1,10,8,8,0,1.0,0.875,0.375,0.625,1,0.0,0,1.0,1.0,0.875,0.875,0,0.0,0,-0.125,-0.5
5,0.5,1,10,9,9,0,1.0,0.8888888888888888,0.5555555555555556,0.5555555555555556,1,0.0,0,1.0,1.0,1.0,0.7777777777777778,0,0.0,0,-0.11111111111111116,-0.4444444444444444
6,0.5,1,10,8,7,1,1.0,0.875,0.5714285714285714,0.5714285714285714,1,0.0,0,1.0,1.0,1.0,0.7142857142857143,0,0.0,0,-0.125,-0.4285714285714286
7,0.5,1,10,8,6,2,1.0,0.875,0.6666666666666666,0.6666666666666666,1,0.0,0,1.0,1.0,1.0,0.6666666666666666,0,0.0,0,-0.125,-0.33333333333333337
8,0.5,1,11,9,8,1,1.0,1.0,0.5,0.625,0,0.0,0,1.0,1.0,0.875,1.0,0,0.0,0,0.0,-0.375
9,0.5,1,10,9,5,4,1.0,1.0,0.4,0.4,0,0.0,0,1.0,1.0,1.0,0.8,0,0.0,0,0.0,-0.6
10,0.5,1,10,8,8,0,1.0,0.875,0.625,0.875,1,0.0,0,1.0,1.0,0.875,0.75,0,0.0,0,-0.125,-0.25
11,0.5,1,10,9,9,0,1.0,0.7777777777777778,0.6666666666666666,0.5555555555555556,2,0.0,0,1.0,1.0,0.8888888888888888,0.5555555555555556,0,0.0,0,-0.2222222222222222,-0.2222222222222222
12,0.5,1,10,8,8,0,1.0,1.0,0.5,0.5,0,0.0,0,1.0,1.0,1.0,0.875,0,0.0,0,0.0,-0.5
13,0.5,1,10,9,9,0,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.0,0,1.0,1.0,1.0,0.8888888888888888,0,0.0,0,0.0,-0.33333333333333337
14,0.5,1,10,8,7,1,1.0,0.875,0.8571428571428571,0.8571428571428571,1,0.0,0,0.875,0.875,0.8571428571428571,0.7142857142857143,2,0.0,0,0.0,0.0
15,0.5,1,10,7,4,3,1.0,0.5714285714285714,0.25,0.25,3,0.0,0,0.8571428571428571,0.8571428571428571,0.75,0.5,2,0.0,0,-0.2857142857142857,-0.5
16,0.5,1,10,9,9,0,1.0,1.0,0.8888888888888888,0.8888888888888888,0,0.0,0,1.0,1.0,1.0,0.8888888888888888,0,0.0,0,0.0,-0.11111111111111116
17,0.5,1,11,9,9,0,1.0,0.7777777777777778,0.5555555555555556,0.4444444444444444,2,0.0,0,1.0,0.8888888888888888,0.8888888888888888,0.5555555555555556,1,0.0,0,-0.11111111111111105,-0.33333333333333326
18,0.5,1,10,8,7,1,1.0,1.0,0.42857142857142855,0.5714285714285714,0,0.0,0,1.0,1.0,1.0,0.5714285714285714,0,0.0,0,0.0,-0.5714285714285714
19,0.5,1,11,10,10,0,1.0,1.0,0.5,0.8,0,0.0,0,1.0,1.0,0.9,0.7,0,0.0,0,0.0,-0.4
20,0.5,1,10,8,7,1,1.0,0.375,0.14285714285714285,0.14285714285714285,5,0.0,0,1.0,0.875,0.7142857142857143,0.2857142857142857,1,0.0,0,-0.5,-0.5714285714285714
21,0.5,1,11,7,5,2,1.0,0.7142857142857143,0.6,0.6,2,0.0,0,0.8571428571428571,0.8571428571428571,0.8,0.6,2,0.0,0,-0.1428571428571428,-0.20000000000000007
22,0.5,1,10,7,5,2,1.0,0.7142857142857143,0.6,0.6,2,0.0,0,0.8571428571428571,0.8571428571428571,0.8,0.8,1,0.0,0,-0.1428571428571428,-0.20000000000000007
23,0.5,1,11,9,8,1,1.0,0.8888888888888888,0.625,0.625,1,0.0,0,1.0,1.0,0.875,0.875,0,0.0,0,-0.11111111111111116,-0.25
24,0.5,1,10,8,7,1,1.0,0.625,0.42857142857142855,0.7142857142857143,3,0.0,0,1.0,0.75,0.7142857142857143,0.7142857142857143,2,0.0,0,-0.125,-0.28571428571428575
25,0.5,1,10,8,6,2,1.0,0.75,0.5,0.6666666666666666,2,0.0,0,1.0,1.0,1.0,0.6666666666666666,0,0.0,0,-0.25,-0.5
26,0.5,1,4,3,0,3,1.0,0.6666666666666666,,,1,0.0,0,0.6666666666666666,1.0,,,1,0.0,0,-0.33333333333333337,
27,0.5,1,9,7,5,2,1.0,0.5714285714285714,0.0,0.2,3,0.0,0,1.0,0.8571428571428571,0.8,0.8,1,0.0,0,-0.2857142857142857,-0.8
28,0.5,1,11,7,6,1,1.0,0.8571428571428571,0.5,0.6666666666666666,1,0.0,0,1.0,0.8571428571428571,0.8333333333333334,0.8333333333333334,1,0.0,0,0.0,-0.33333333333333337
29,0.5,1,11,9,7,2,1.0,1.0,0.42857142857142855,0.8571428571428571,0,0.0,0,1.0,1.0,1.0,0.8571428571428571,0,0.0,0,0.0,-0.5714285714285714
30,0.5,1,10,8,5,3,1.0,0.875,0.6,0.6,1,0.0,0,1.0,1.0,1.0,1.0,0,0.0,0,-0.125,-0.4
31,0.5,1,10,9,6,3,1.0,0.8888888888888888,0.16666666666666666,0.6666666666666666,1,0.0,0,0.8888888888888888,0.8888888888888888,1.0,1.0,1,0.0,0,0.0,-0.8333333333333334
32,0.5,1,11,9,9,0,1.0,0.7777777777777778,0.2222222222222222,0.2222222222222222,2,0.0,0,1.0,1.0,1.0,0.8888888888888888,0,0.0,0,-0.2222222222222222,-0.7777777777777778
