season,celebrity_name,pro_name,industry,judge_score_pct_mean,n_weeks_active,fan_vote_index_mean,fan_vote_index_sd_mean,n_weeks_q1
1,Evander Holyfield,Edyta Sliwinska,Athlete,0.13449386781723474,3,-2.2528812744900857,0.7394166442138825,3
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,0.2180395219563426,5,-1.4958759819385592,0.5882149530849687,5
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,0.2863856822050214,6,-1.2825841210099933,0.5653737878936006,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,0.2611647983660485,6,-1.2672118235691026,0.5658285056030778,6
1,Rachel Hunter,Jonathan Roberts,Model,0.22471387381820843,4,-2.1398966456622066,0.6229369434075974,4
1,Trista Sutter,Louis van Amstel,TV Personality,0.16108120403366438,2,-2.7212502575118878,0.9073901305644178,2
2,Drew Lachey,Cheryl Burke,Singer/Rapper,0.20018704680181554,8,-1.9208386803085118,0.46609539700250757,8
2,George Hamilton,Edyta Sliwinska,Actor/Actress,0.1313284889616562,6,-2.3607901836550327,0.486596069314571,6
2,Giselle Fernandez,Jonathan Roberts,News Anchor,0.11960927960927957,3,-2.86550076979973,0.6987817060449893,3
2,Jerry Rice,Anna Trebunskaya,Athlete,0.16517795223782084,8,-1.8064492409532613,0.42383231910830704,8
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,0.0666666666666666,1,-3.566536887532375,1.170054456519498,1
2,Lisa Rinna,Louis van Amstel,Actor/Actress,0.16110426444239367,7,-2.2709854911749963,0.4511361750151891,7
2,Master P,Ashly DelGrosso,Singer/Rapper,0.06727361246348584,4,-2.5274818196086426,0.5817556724641298,4
2,Stacy Keibler,Tony Dovolani,Athlete,0.20056213646976576,8,-1.8805475799791325,0.42852877287629204,8
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,0.10147435897435896,2,-3.079690806569226,0.8500348318936649,2
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,0.13186889155218434,5,-2.528874954335381,0.5258975627760838,5
3,Emmitt Smith,Cheryl Burke,Athlete,0.20837414780431013,10,-1.7364280526229536,0.42335938433881204,10
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,0.09259107343602828,3,-2.9598190367870383,0.6891700680814172,3
