outcome,model,term,estimate,ci_low,ci_high,std_err,p_value,n_obs,n_refits,note,fan_source_mechanism
fan_vote_index_mean,ols,Intercept,-1.1083352178045371,-1.7452557247100413,-0.471414710899033,0.3236673987441664,0.0007013219342647574,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Astronaut],-0.016991435151431093,-1.046818096897952,1.0128352265950897,0.5233326814743895,0.97412041008133,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Athlete],-0.08235191004515505,-0.2115053902876642,0.04680157019735412,0.06563263474110599,0.21054002080047382,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Beauty Pagent],-0.46431142066539477,-0.9121523815322712,-0.0164704597985183,0.22758180539534026,0.042197643801476635,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Comedian],-0.20135185561334035,-0.4768595840893631,0.07415587286268238,0.14000627840198962,0.1514198230127571,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Con artist],-0.4402850025854691,-0.8798806771734771,-0.000689327997461131,0.22339175289609128,0.049644091487949835,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Conservationist],0.1301522149550883,-0.32664689124817636,0.586951321158353,0.23213411540446222,0.5754322288125218,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Entrepreneur],-0.0016639753817360948,-0.44272622413146784,0.4393982733679957,0.22413702995789733,0.9940815086834549,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Fashion Designer],-0.06230527076287297,-0.9251971661529198,0.8005866246271739,0.4385005226715934,0.8871056310197829,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Fitness Instructor],0.34917778377649555,-0.5039157353207173,1.2022713028737084,0.4335212278738384,0.42119417405572146,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Journalist],-0.2045399396084699,-1.0998902632933167,0.6908103840763771,0.45499510078550026,0.6533612767114672,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Magician],-0.7706699201893242,-1.6375266392454744,0.0961867988668259,0.44051534893103017,0.08122161838325229,421,1,fan_line_quick_ols_percent,percent
